model_name,theta_score,accuracy_overall,accuracy_stem,accuracy_nonstem,reasoning_sensitivity,semantic_sensitivity
TeeZee/Xwin-LM-70B-V0.1_Limarpv3,0.4791276,0.693349,0.574374,0.727799,-0.113046,-0.092388
vistagi/Mixtral-8x7b-v0.1-sft,0.4774517,0.702891,0.612433,0.729084,-0.118389,-0.0892
vistagi/Mixtral-8x7b-v0.1-dpo,0.47714418,0.702891,0.612433,0.729084,-0.118389,-0.0892
liuxiang886/llama2-70B-qlora-gpt4,0.4760503,0.700114,0.574056,0.736615,-0.115333,-0.078725
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,0.47529966,0.704244,0.604821,0.733033,-0.124466,-0.081349
Sao10K/Sensualize-Mixtral-bf16,0.47434893,0.701823,0.60831,0.728901,-0.124428,-0.114933
GOAT-AI/GOAT-70B-Storytelling,0.47391856,0.693705,0.578814,0.726972,-0.119247,-0.077117
garage-bAInd/Platypus2-70B,0.47388503,0.70396,0.575959,0.741023,-0.113902,-0.056957
MaziyarPanahi/WizardLM-Math-70B-v0.1,0.47127458,0.69577,0.572154,0.731564,-0.108169,-0.082542
Xwin-LM/Xwin-LM-70B-V0.1,0.47064388,0.695699,0.581034,0.728901,-0.113383,-0.096035
mistralai/Mixtral-8x7B-Instruct-v0.1,0.47016972,0.7046,0.611164,0.731656,-0.102931,-0.067941
Sao10K/Typhon-Mixtral-v1,0.46953776,0.704316,0.608627,0.732023,-0.133874,-0.082822
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,0.4686227,0.704885,0.61053,0.732207,-0.105874,-0.075719
abhishek/autotrain-mixtral-8x7b-orpo-v1,0.4678255,0.704458,0.608944,0.732115,-0.106289,-0.074073
meta-llama/Llama-2-70b-hf,0.4665283,0.691853,0.581985,0.723666,-0.110294,-0.077641
ibivibiv/megamarcoroni-120b,0.45955753,0.7046,0.581985,0.740105,-0.101499,-0.080295
OpenBuddy/openbuddy-mixtral-8x7b-v16.1-32k,0.45905203,0.703603,0.609895,0.730737,-0.109969,-0.087289
chujiezheng/tulu-2-dpo-70b-ExPO,0.45761588,0.694844,0.577862,0.728717,-0.121423,-0.059462
TheBloke/fiction.live-Kimiko-V2-70B-fp16,0.45685834,0.690785,0.579765,0.722931,-0.119159,-0.067793
NousResearch/Nous-Puffin-70B,0.456098,0.691212,0.580717,0.723207,-0.117905,-0.073295
TheBloke/Llama-2-70B-fp16,0.45449767,0.691924,0.582303,0.723666,-0.111116,-0.076473
NeverSleep/Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss,0.4525097,0.704173,0.612433,0.730737,-0.11511,-0.064816
quantumaikr/QuantumLM-llama2-70B-Korean-LoRA,0.4516641,0.693989,0.576911,0.727891,-0.108592,-0.08942
cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO,0.45005262,0.703034,0.607992,0.730554,-0.108782,-0.071147
meta-math/MetaMath-70B-V1.0,0.44766146,0.687082,0.573105,0.720084,-0.109747,-0.091751
rufjdk5480/mixtral-ko-qna-merged,0.44610426,0.703176,0.620362,0.727156,-0.119408,-0.080168
jondurbin/airoboros-l2-70b-2.1,0.44594252,0.692423,0.573739,0.726789,-0.100134,-0.088359
OpenBuddy/openbuddy-deepseek-67b-v18.1-4k,0.44231465,0.700969,0.603869,0.729084,-0.117008,-0.0973
Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K,0.43932405,0.703319,0.605455,0.731656,-0.119508,-0.079526
KaeriJenti/kaori-34b-v3,0.42462674,0.70104,0.609578,0.727523,-0.131044,-0.097692
garage-bAInd/Camel-Platypus2-70B,0.42121017,0.700043,0.570251,0.737625,-0.102423,-0.044758
KaeriJenti/Kaori-34B-v1,0.4159644,0.701966,0.606407,0.729635,-0.129563,-0.089477
migtissera/Tess-2.0-Mixtral-v0.2,0.41365778,0.700043,0.602284,0.72835,-0.107683,-0.09348
elinas/chronos007-70b,0.40929863,0.691141,0.573105,0.725319,-0.122735,-0.060583
TheBloke/Airoboros-L2-70B-2.1-GPTQ,0.40840846,0.689859,0.567079,0.725411,-0.105376,-0.081626
OpenBuddy/openbuddy-deepseek-67b-v15.3-4k,0.40306604,0.698049,0.599429,0.726605,-0.114997,-0.093846
ehartford/dolphin-2.2-70b,0.40242583,0.693491,0.569933,0.729268,-0.122472,-0.074322
garage-bAInd/Dolphin-Platypus2-70B,0.3985264,0.698405,0.566445,0.736615,-0.125677,-0.068153
Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled,0.39818752,0.700612,0.599112,0.730003,-0.117893,-0.085344
dfurman/llama-2-70b-dolphin-peft,0.3980614,0.690286,0.571836,0.724584,-0.111495,-0.087939
Swisslex/Mixtral-8x7b-DPO-v0.2,0.39739445,0.697265,0.606407,0.723574,-0.115085,-0.082995
Swisslex/Mixtral-8x7b-DPO-v0.1,0.39735124,0.6952,0.598795,0.723115,-0.101078,-0.079541
ibivibiv/strix-rufipes-70b,0.3959764,0.691924,0.561687,0.729635,-0.129115,-0.076107
v2ray/LLaMA-2-Wizard-70B-QLoRA,0.38532108,0.688862,0.567396,0.724033,-0.130839,-0.08574
abacusai/Smaug-Mixtral-v0.1,0.3804749,0.69342,0.595623,0.721738,-0.126887,-0.083257
cognitivecomputations/mixtral-instruct-0.1-laser,0.3783032,0.698262,0.606089,0.724952,-0.099077,-0.058854
chargoddard/MixtralRPChat-ZLoss,0.37416244,0.694274,0.596258,0.722656,-0.122692,-0.086804
HIT-SCIR/Chinese-Mixtral-8x7B,0.37400505,0.698405,0.609895,0.724033,-0.12381,-0.095422
OpenBuddy/openbuddy-deepseek-67b-v15.1,0.37285283,0.697265,0.596575,0.726421,-0.124716,-0.091532
llm-agents/tora-70b-v1.0,0.37024763,0.685159,0.569299,0.718707,-0.122877,-0.067692
cognitivecomputations/MegaDolphin-120b,0.36855033,0.696624,0.571836,0.732758,-0.10701,-0.090586
PSanni/MPOMixtral-8x7B-Instruct-v0.1,0.3642979,0.696696,0.599746,0.724768,-0.131274,-0.101831
migtissera/Synthia-70B,0.355188,0.685372,0.571519,0.71834,-0.127272,-0.053242
smelborp/MixtralOrochi8x7B,0.3526763,0.693633,0.598795,0.721095,-0.12063,-0.070428
tiiuae/falcon-180B,0.3526452,0.69463,0.58262,0.727064,-0.117183,-0.041951
hfl/chinese-mixtral,0.35141808,0.68872,0.599112,0.714666,-0.120576,-0.05908
chargoddard/mixtralmerge-8x7B-rebalanced-test,0.33953574,0.694203,0.599112,0.721738,-0.123185,-0.095562
Sao10K/Euryale-L2-70B,0.33946314,0.683948,0.56803,0.717513,-0.113755,-0.071815
Sao10K/Franziska-Mixtral-v1,0.3367809,0.693776,0.593403,0.72284,-0.124197,-0.073292
abhishek/autotrain-mixtral-8x7b-orpo-v2,0.33495915,0.694844,0.597209,0.723115,-0.125057,-0.094553
DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K,0.3345511,0.692138,0.596575,0.719809,-0.130099,-0.088847
yeontaek/llama-2-70B-ensemble-v7,0.33418408,0.688007,0.568982,0.722472,-0.114547,-0.088901
yeontaek/llama-2-70B-ensemble-v6,0.32516938,0.690856,0.559784,0.728809,-0.125093,-0.065224
OpenBuddy/openbuddy-mixtral-7bx8-v17.1-32k,0.32306945,0.690856,0.594672,0.718707,-0.121351,-0.078216
OpenBuddy/openbuddy-mixtral-7bx8-v17.3-32k,0.30823252,0.690286,0.5915,0.718891,-0.127093,-0.089953
DiscoResearch/DiscoLM-70b,0.30346248,0.68053,0.56581,0.713748,-0.1372,-0.076264
rhysjones/Phi-3-mini-mango-1,0.3031637,0.694061,0.601015,0.721003,-0.128939,-0.088496
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.3,0.3019848,0.693491,0.601649,0.720084,-0.125006,-0.092603
smelborp/MixtralOrochi8x7B-Alt,0.2989932,0.691283,0.595306,0.719074,-0.114548,-0.090329
OpenBuddy/openbuddy-mixtral-8x7b-v15.4,0.29870152,0.686085,0.597843,0.711636,-0.113409,-0.079316
yeontaek/llama-2-70B-ensemble-v2,0.29785755,0.683663,0.56359,0.718431,-0.115102,-0.07177
yeontaek/llama-2-70B-ensemble-v3,0.29066244,0.68872,0.567396,0.72385,-0.126206,-0.062042
unsloth/Phi-3-mini-4k-instruct,0.288883,0.692067,0.598795,0.719074,-0.133198,-0.095663
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.2,0.28184438,0.692921,0.602601,0.719074,-0.124662,-0.096618
microsoft/Phi-3-mini-4k-instruct,0.28009012,0.692209,0.598478,0.71935,-0.124109,-0.080181
Ba2han/Llama-Phi-3_DoRA,0.26544937,0.691995,0.606724,0.716687,-0.13217,-0.085594
cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,0.26121166,0.693847,0.64066,0.709248,-0.088939,-0.079866
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.1,0.2559464,0.689503,0.598478,0.71586,-0.119162,-0.092535
Zangs3011/mixtral_8x7b_MonsterInstruct,0.23752539,0.688506,0.607675,0.711911,-0.120756,-0.103705
ehartford/Samantha-1.11-70b,0.23519124,0.679248,0.547732,0.717329,-0.131138,-0.061637
BAAI/Aquila2-34B,0.23477724,0.76905,0.66635,0.798788,-0.073134,-0.069028
01-ai/Yi-1.5-9B-Chat-16K,0.2251492,0.697621,0.643831,0.713197,-0.094535,-0.059905
01-ai/Yi-1.5-9B,0.2226055,0.694203,0.644783,0.708513,-0.097223,-0.045067
01-ai/Yi-1.5-9B-32K,0.21623746,0.693277,0.641928,0.708146,-0.087278,-0.067772
microsoft/Phi-3-mini-128k-instruct,0.2151378,0.686013,0.597526,0.711636,-0.117363,-0.076741
bunkalab/Phi-3-mini-128k-instruct-LinearBunkaScore-4.6k-DPO,0.19826603,0.687153,0.598478,0.712829,-0.117111,-0.073212
alykassem/ds_diasum_md_mixtral,0.19770962,0.686654,0.588329,0.715125,-0.114715,-0.074453
TheBloke/Mixtral-8x7B-v0.1-GPTQ,0.18905862,0.680316,0.5915,0.706034,-0.115566,-0.095308
Kukedlc/NeuralLLaMa-3-8b-DT-v0.1,0.15472409,0.671557,0.577545,0.698779,-0.110938,-0.063268
ddobokki/Llama-2-70b-orca-200k,0.14546004,0.667782,0.551855,0.70135,-0.110228,-0.090029
DopeorNope/COKAL-v1-70B,0.14210074,0.692921,0.562322,0.730737,-0.088851,-0.042866
OpenAssistant/llama2-70b-oasst-sft-v10,0.140608,0.675474,0.560101,0.708881,-0.116729,-0.076131
dfurman/Mixtral-8x7B-peft-v0.1,0.1255882,0.678251,0.595306,0.702268,-0.112605,-0.08872
nbeerbower/llama-3-stinky-8B,0.12094889,0.670631,0.576594,0.69786,-0.109354,-0.071519
nbeerbower/llama-3-stella-8B,0.120408006,0.670631,0.585474,0.695289,-0.11019,-0.060543
vicgalle/Configurable-Yi-1.5-9B-Chat,0.11719358,0.695627,0.650809,0.708605,-0.081318,-0.076726
Hastagaras/llama-3-8b-okay,0.11718169,0.672625,0.583571,0.698411,-0.102946,-0.080297
nbeerbower/llama-3-dragonmaid-8B-v2,0.11642066,0.670489,0.578497,0.697126,-0.107948,-0.068226
martyn/mixtral-megamerge-dare-8x7b-v2,0.115508385,0.68174,0.584206,0.709983,-0.125827,-0.106756
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3,0.11359363,0.669492,0.573422,0.697309,-0.102698,-0.05626
mlabonne/ChimeraLlama-3-8B-v3,0.111161135,0.670489,0.577862,0.697309,-0.124513,-0.068972
Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3,0.10720528,0.670631,0.577862,0.697493,-0.12079,-0.068443
uygarkurt/llama-3-merged-linear,0.10285393,0.666999,0.581034,0.691891,-0.106611,-0.06101
SJ-Donald/SJ-SOLAR-10.7b-DPO,0.09837502,0.662797,0.556613,0.693544,-0.112526,-0.079442
01-ai/Yi-1.5-9B-Chat,0.09697299,0.695343,0.650492,0.70833,-0.082101,-0.07401
MaziyarPanahi/Llama-3-8B-Instruct-v0.3,0.09679098,0.669207,0.569299,0.698136,-0.103728,-0.056648
FairMind/Phi-3-mini-4k-instruct-bnb-4bit-Ita,0.094929986,0.672554,0.585474,0.697768,-0.144245,-0.100996
nbeerbower/llama-3-stinky-v2-8B,0.09093019,0.668495,0.57818,0.694646,-0.114899,-0.062521
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.2,0.09070071,0.668993,0.571836,0.697126,-0.098848,-0.06155
nbeerbower/llama-3-slerp-kraut-dragon-8B,0.08901925,0.667996,0.577862,0.694095,-0.108153,-0.0658
SJ-Donald/SOLAR-10.7B-slerp,0.08808353,0.662441,0.556296,0.693177,-0.113754,-0.078503
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,0.087642945,0.66707,0.581668,0.691799,-0.110088,-0.069263
MaziyarPanahi/Llama-3-8B-Instruct-v0.5,0.08727305,0.668637,0.570568,0.697034,-0.112986,-0.062516
nbeerbower/llama-3-stella-truthy-dpo-8B,0.08659746,0.668067,0.581985,0.692993,-0.104873,-0.05592
elinas/Llama-3-8B-Ultra-Instruct,0.08600703,0.668637,0.576594,0.695289,-0.110323,-0.075221
nbeerbower/llama-3-gutenberg-8B,0.08532488,0.669349,0.587377,0.693085,-0.109764,-0.056174
DeepMount00/Llama-3-8b-Ita,0.08514751,0.666144,0.578497,0.691524,-0.109088,-0.059771
MaziyarPanahi/Llama-3-8B-Instruct-v0.2,0.08500753,0.667284,0.568982,0.695748,-0.102053,-0.057285
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,0.08498854,0.667426,0.583254,0.691799,-0.110502,-0.058657
nbeerbower/llama-3-wissenschaft-8B,0.083063625,0.667854,0.581351,0.692901,-0.108741,-0.046627
VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,0.08302082,0.666216,0.579765,0.691248,-0.11123,-0.062504
MaziyarPanahi/Llama-3-8B-Instruct-v0.1,0.08190757,0.668922,0.573105,0.696666,-0.108254,-0.058476
nbeerbower/llama-3-sauce-v2-8B,0.08185953,0.666999,0.573105,0.694187,-0.112313,-0.059003
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.4,0.080766015,0.668423,0.569933,0.696942,-0.10763,-0.05485
TigerResearch/tigerbot-70b-chat-v4-4k,0.07983056,0.690714,0.561053,0.728258,-0.105594,-0.068976
DeepMount00/Phi-3-Mini-4K-Boost,0.07618535,0.675901,0.58928,0.700983,-0.138357,-0.104597
mlabonne/ChimeraLlama-3-8B-v2,0.075637914,0.664578,0.571202,0.691615,-0.10268,-0.067562
CohereForAI/c4ai-command-r-v01,0.07186723,0.681384,0.556613,0.717513,-0.105963,-0.094701
Undi95/Llama-3-LewdPlay-8B-evo,0.069531575,0.665575,0.573105,0.69235,-0.119111,-0.067962
Zardos/nil_Llama-3-8B-Instruct_v0.1.0,0.06904268,0.666999,0.56803,0.695656,-0.107295,-0.053417
Nhoodie/llama-3-sqrt-crocodile-v0.0A,0.06839035,0.667925,0.579448,0.693544,-0.108212,-0.077433
grimjim/Llama-3-Instruct-demi-merge-8B,0.066834494,0.669278,0.576911,0.696024,-0.109647,-0.079348
Dampfinchen/Llama-3-8B-Ultra-Instruct-SaltSprinkle,0.06430986,0.666216,0.566127,0.695197,-0.109517,-0.056185
elinas/Llama-3-15B-Instruct-zeroed,0.060473394,0.666999,0.56803,0.695656,-0.107295,-0.053417
hfl/llama-3-chinese-8b-instruct-v3,0.059596412,0.666002,0.576911,0.691799,-0.116205,-0.072469
MaziyarPanahi/Llama-3-8B-Instruct-v0.4,0.0594945,0.663866,0.575642,0.689411,-0.114396,-0.059176
nbeerbower/llama-3-spicy-abliterated-stella-8B,0.05707632,0.664791,0.572788,0.691432,-0.113352,-0.05964
nbeerbower/llama-3-wissenschaft-8B-v2,0.0558455,0.667782,0.579765,0.693268,-0.114775,-0.054577
elinas/Llama-3-15B-Instruct-zeroed-ft,0.051257666,0.664293,0.56581,0.692809,-0.107728,-0.059969
Orenguteng/Llama-3-8B-Lexi-Uncensored,0.046860017,0.664578,0.570251,0.691891,-0.111539,-0.071051
bongchoi/MoMo-70B-LoRA-V1.1,0.046316013,0.6618,0.541389,0.696666,-0.104134,-0.054011
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,0.045903996,0.667569,0.554075,0.700432,-0.105163,-0.053642
MaziyarPanahi/Llama-3-8B-Instruct-v0.7,0.04502245,0.663652,0.573739,0.689687,-0.114147,-0.051938
NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS,0.04135738,0.656744,0.570251,0.681789,-0.1177,-0.081601
LDCC/LDCC-SOLAR-10.7B,0.039858304,0.661872,0.56137,0.690973,-0.094884,-0.069915
macadeliccc/Orca-SOLAR-4x10.7b,0.03938306,0.662228,0.556613,0.692809,-0.107548,-0.107912
macadeliccc/SOLAR-math-2x10.7b,0.03686549,0.660875,0.550904,0.692717,-0.117633,-0.098783
Orenguteng/Lexi-Llama-3-8B-Uncensored,0.03627926,0.664578,0.570251,0.691891,-0.111539,-0.071051
rmihaylov/Llama-3-DARE-v1-8B,0.033794925,0.660305,0.569299,0.686656,-0.10828,-0.067166
Walmart-the-bag/Llama-3-LizardCoder-8B,0.025104156,0.664293,0.56581,0.692809,-0.103701,-0.085224
vicgalle/Configurable-Llama-3-8B-v0.1,0.02499949,0.659023,0.567396,0.685554,-0.108562,-0.063618
vicgalle/Configurable-Llama-3-8B-v0.2,0.023742016,0.658026,0.565493,0.68482,-0.103239,-0.06428
grimjim/llama-3-merge-pp-instruct-8B,0.02346034,0.662441,0.568348,0.689687,-0.111203,-0.062236
NeverSleep/Llama-3-Lumimaid-8B-v0.1,0.02245599,0.660946,0.56581,0.688493,-0.114559,-0.06522
tokyotech-llm/Swallow-70b-instruct-hf,0.019617923,0.660376,0.55471,0.690973,-0.092995,-0.047154
Aratako/c4ai-command-r-v01-japanese-instruct,0.019384148,0.67583,0.555027,0.710809,-0.103212,-0.088927
yeontaek/llama-2-70b-IA3-guanaco,0.019000607,0.661729,0.557564,0.691891,-0.088212,-0.067573
grimjim/llama-3-merge-avalon-8B,0.017265469,0.663509,0.572788,0.689779,-0.118633,-0.083385
mlabonne/ChimeraLlama-3-8B,0.016342945,0.663082,0.568665,0.690422,-0.119104,-0.071596
Open-Orca/Mixtral-SlimOrca-8x7B,0.013883401,0.670061,0.56581,0.700248,-0.132587,-0.095262
Kukedlc/SmartLlama-3-8B-MS-v0.1,0.012488807,0.663011,0.567396,0.690697,-0.119364,-0.082573
PracticeLLM/SOLAR-tail-10.7B-Merge-v1.0,0.011093197,0.657171,0.557247,0.686105,-0.110697,-0.093428
elinas/Llama-3-15B-Instruct-ft-v2,0.01089456,0.659949,0.562956,0.688034,-0.11685,-0.078299
win10/Meta-Llama-3-15B-Instruct,0.009891065,0.661088,0.56359,0.689319,-0.123348,-0.067043
Xwin-LM/Xwin-Math-70B-V1.0,0.0085259685,0.664791,0.530606,0.703646,-0.137157,-0.108618
Sao10K/Test-Instruct-Solar-v1,0.006857451,0.653895,0.556296,0.682156,-0.116636,-0.08691
Undi95/Llama-3-Unholy-8B,0.0059379498,0.659593,0.568348,0.686013,-0.112712,-0.05173
OpenLemur/lemur-70b-chat-v1,0.0043849805,0.658311,0.536949,0.693452,-0.111109,-0.05665
vicgalle/Configurable-Llama-3-8B-v0.3,0.0042508543,0.657029,0.56803,0.682799,-0.104756,-0.050793
rmihaylov/Llama-3-DARE-v2-8B,0.003326689,0.658453,0.565176,0.685462,-0.110946,-0.063865
Kquant03/BurningBruce-SOLAR-8x10.7B-bf16,-0.0012774274,0.652827,0.557247,0.680503,-0.128066,-0.093428
DopeorNope/SOLARC-MOE-10.7Bx6,-0.001747414,0.654252,0.56581,0.67986,-0.112062,-0.078897
meta-llama/Meta-Llama-3-8B-Instruct,-0.003582715,0.656673,0.567396,0.682524,-0.114061,-0.053115
mlabonne/Llama-3-8B-Instruct-abliterated-dpomix,-0.0037806395,0.657243,0.566762,0.683442,-0.107894,-0.047045
kyujinpy/Sakura-SOLAR-Instruct-DPO-v2,-0.0051214565,0.655177,0.566127,0.680962,-0.117548,-0.085643
rhysjones/Phi-3-mini-mango-1-llamafied,-0.0070181973,0.679034,0.601015,0.701625,-0.128939,-0.088496
vonjack/phi-3-mini-4k-instruct-llamafied,-0.007422284,0.678749,0.600381,0.701442,-0.130518,-0.093006
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1,-0.007964011,0.658382,0.566445,0.685003,-0.10919,-0.059222
vicgalle/ConfigurableSOLAR-10.7B,-0.009860634,0.655961,0.556296,0.68482,-0.11736,-0.077453
NousResearch/Meta-Llama-3-8B-Instruct,-0.011446068,0.657314,0.565176,0.683993,-0.107325,-0.051276
macadeliccc/SOLAR-math-2x10.7b-v0.2,-0.011879169,0.653041,0.560419,0.67986,-0.112089,-0.078123
DopeorNope/SOLARC-M-10.7B,-0.012089095,0.653255,0.564859,0.67885,-0.11172,-0.081331
Replete-AI/Llama-3-11.5B-Instruct-v2,-0.012476569,0.656815,0.562322,0.684177,-0.11402,-0.054379
kodonho/Solar-OrcaDPO-Solar-Instruct-SLERP,-0.013452544,0.653539,0.55693,0.681513,-0.114335,-0.08301
NotAiLOL/Boundary-Meta-Llama-3-2x8B-MoE,-0.013500422,0.656673,0.567396,0.682524,-0.114061,-0.053115
bhavinjawade/SOLAR-10B-OrcaDPO-Jawade,-0.013747772,0.652542,0.554075,0.681054,-0.121947,-0.086102
raincandy-u/Llama-3-Aplite-Instruct-4x8B,-0.014213615,0.660234,0.571202,0.686013,-0.104416,-0.06967
vicgalle/Unsafe-Llama-3-8B,-0.014819677,0.657029,0.568982,0.682524,-0.115442,-0.058861
macadeliccc/SOLAR-10.7b-Instruct-dpo,-0.014839625,0.652115,0.558516,0.679218,-0.114004,-0.077206
naseerfaheem/SOLAR-10.7B-Instruct-ties,-0.014880173,0.654608,0.560419,0.681881,-0.110042,-0.083382
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,-0.015188964,0.653397,0.559784,0.680503,-0.112221,-0.074665
Undi95/Llama-3-LewdPlay-8B,-0.015231474,0.656958,0.562322,0.68436,-0.11879,-0.078517
kyujinpy/Sakura-SOLAR-Instruct,-0.015540801,0.653682,0.566127,0.679034,-0.114316,-0.083005
invalid-coder/SOLAR-10.7B-Instruct-SOLARC-M-10.7B-slerp,-0.016014172,0.652756,0.563907,0.678483,-0.11441,-0.084819
cloudyu/Mixtral_11Bx2_MoE_19B,-0.01632361,0.653183,0.566445,0.678299,-0.109366,-0.079207
kodonho/SolarM-SakuraSolar-SLERP,-0.017665006,0.652827,0.562956,0.67885,-0.111304,-0.08093
Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1,-0.017794596,0.656673,0.56359,0.683626,-0.114385,-0.053408
saucam/aqua-smaug-0.3-8B,-0.018343449,0.659593,0.567713,0.686197,-0.116594,-0.081937
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,-0.018453324,0.651901,0.56359,0.677473,-0.121617,-0.086509
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,-0.018712586,0.653539,0.565176,0.679126,-0.110325,-0.082276
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test,-0.019964142,0.651901,0.56359,0.677473,-0.121617,-0.086509
dddsaty/SOLAR-Instruct-ko-Adapter-Attach,-0.020176345,0.65183,0.558833,0.678758,-0.113043,-0.089721
pinkyponky/SOLAR-10.7B-dpo-instruct-tuned-v0.1,-0.020195322,0.652471,0.560419,0.679126,-0.097034,-0.073395
DopeorNope/SOLARC-MOE-10.7Bx4,-0.020606881,0.652827,0.564542,0.678391,-0.11437,-0.088822
abhishekchohan/SOLAR-10.7B-Instruct-Forest-DPO-v1,-0.021352435,0.651261,0.551221,0.680228,-0.122777,-0.080274
raincandy-u/Llama-3-Aplite-Instruct-4x8B-MoE,-0.022298021,0.661231,0.568982,0.687942,-0.105447,-0.075175
upstage/SOLAR-10.7B-Instruct-v1.0,-0.024135297,0.652898,0.559784,0.67986,-0.114456,-0.090448
abhishek/autotrain-mixtral7x8b-math,-0.024189377,0.663581,0.554393,0.695197,-0.138068,-0.093359
rmihaylov/Llama-3-DARE-v3-8B,-0.024695192,0.657314,0.560736,0.685279,-0.114439,-0.066464
dddsaty/Merge_Sakura_Solar,-0.026808882,0.651688,0.560419,0.678116,-0.114412,-0.081278
mlabonne/Meta-Llama-3-12B-Instruct,-0.02910491,0.656602,0.558516,0.685003,-0.111324,-0.085617
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-n128-v3,-0.029828418,0.653682,0.564225,0.679585,-0.109984,-0.064722
Edgerunners/Llama-3-8B-Instruct-ortho-baukit-toxic-v2,-0.030747864,0.653753,0.564542,0.679585,-0.111162,-0.068288
PathFinderKR/Waktaverse-Llama-3-KO-8B-Instruct,-0.03214624,0.658382,0.564859,0.685462,-0.121617,-0.08977
Undi95/Llama-3-8B-Instruct-OAS,-0.035501417,0.656317,0.562639,0.683442,-0.111635,-0.068424
bhavinjawade/SOLAR-10B-Nector-DPO-Jawade,-0.037101537,0.650976,0.560419,0.677197,-0.117384,-0.084435
fblgit/UNA-SOLAR-10.7B-Instruct-v1.0,-0.039516024,0.651617,0.562322,0.677473,-0.117074,-0.07957
raincandy-u/phillama-3.8b-v0.1,-0.04178885,0.675687,0.604821,0.696207,-0.123473,-0.092139
dillfrescott/Nous-Hermes-2-SOLAR-10.7B-x2-MoE,-0.043125317,0.654608,0.553124,0.683993,-0.102815,-0.078559
g-ronimo/Meta-Llama-3-8B-Instruct-LessResistant,-0.04333229,0.658596,0.56359,0.686105,-0.112956,-0.063893
ChuckMcSneed/WinterGoddess-1.4x-70b-32k,-0.046898074,0.658667,0.544561,0.691707,-0.105842,-0.079477
NousResearch/Nous-Hermes-2-SOLAR-10.7B,-0.046983335,0.653611,0.549952,0.683626,-0.112156,-0.07967
Swisslex/Mixtral-Orca-v0.1,-0.047085106,0.656602,0.55471,0.686105,-0.114633,-0.069621
rombodawg/test_dataset_Codellama-3-8B,-0.04733105,0.654109,0.558833,0.681697,-0.109568,-0.068701
Gryphe/Pantheon-RP-1.0-8b-Llama-3,-0.04820394,0.652258,0.564542,0.677656,-0.090811,-0.0767
bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED,-0.048475225,0.653682,0.546781,0.684636,-0.11421,-0.087602
grimjim/llama-3-experiment-v1-9B,-0.04917634,0.656815,0.56137,0.684452,-0.111093,-0.054715
Syed-Hasan-8503/Llama-3-8B-NOLA,-0.049832467,0.65475,0.56137,0.681789,-0.119083,-0.077794
meta-llama/Meta-Llama-3-8B,-0.05171757,0.654608,0.563273,0.681054,-0.109644,-0.077137
jilp00/Nous-Hermes-2-SOLAR-10.7B-v1.1,-0.05172225,0.653468,0.553124,0.682524,-0.093902,-0.081182
MisterRid/Llama-3-8B-SaulGoodMan,-0.05325414,0.654536,0.557564,0.682615,-0.106031,-0.081213
Edgerunners/meta-llama-3-8b-instruct-hf-ortho-baukit-5fail-500total,-0.053686406,0.64656,0.556296,0.672697,-0.104182,-0.058078
failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,-0.056167528,0.653041,0.560736,0.679769,-0.115243,-0.046047
maldv/SFR-Iterative-DPO-LLaMA-3-8B-R,-0.056456212,0.655035,0.567396,0.680411,-0.109444,-0.084156
dfurman/Llama-3-8B-Orpo-v0.1,-0.057363994,0.654608,0.564859,0.680595,-0.130462,-0.068178
theo77186/Llama-3-8B-Instruct-norefusal,-0.05761847,0.651759,0.557247,0.679126,-0.112751,-0.050425
NousResearch/Hermes-2-Theta-Llama-3-8B,-0.059848994,0.656673,0.557247,0.685462,-0.124641,-0.068732
