model_name,family,size_b,coarse_cluster,fine_cluster,accuracy_overall,accuracy_stem,accuracy_nonstem,rank_overall,rank_stem,rank_nonstem
LeroyDyer/Mixtral_AI_CyberCoder,mixtral,,mixtral:unknown,mixtral-ai-cybercoder,0.47699758,0.3815414,0.5046377,841,852,832
LeroyDyer/Mixtral_AI_CyberTron,mixtral,,mixtral:unknown,mixtral-ai-cybertron,0.6111665,0.51411355,0.639269,697,700,699
LeroyDyer/Mixtral_AI_CyberTron_Coder,mixtral,,mixtral:unknown,mixtral-ai-cybertron-coder,0.6181456,0.52109104,0.6462485,682,678,683
LeroyDyer/Mixtral_AI_CyberTron_DeepMind_III_UFT,mixtral,,mixtral:unknown,mixtral-ai-cybertron-deepmind-iii-uft,0.6088164,0.5144307,0.63614655,702,699,703
LeroyDyer/Mixtral_AI_CyberTron_Ultra,mixtral,,mixtral:unknown,mixtral-ai-cybertron-ultra,0.59913117,0.51696795,0.62292224,716,693,723
LeroyDyer/Mixtral_AI_CyberUltron_DPO,mixtral,,mixtral:unknown,mixtral-ai-cyberultron-dpo,0.5871671,0.4954012,0.61373866,734,727,744
LeroyDyer/Mixtral_AI_Cyber_2.0,mixtral,,mixtral:unknown,mixtral-ai-cyber-2-0,0.57976073,0.49793848,0.60345304,752,717,764
LeroyDyer/Mixtral_AI_Cyber_3.0,mixtral,,mixtral:unknown,mixtral-ai-cyber-3-0,0.6077482,0.51125914,0.6356874,704,705,706
LeroyDyer/Mixtral_AI_Cyber_3.1_SFT,mixtral,,mixtral:unknown,mixtral-ai-cyber-3-1-sft,0.6343114,0.53599745,0.662779,613,614,609
LeroyDyer/Mixtral_AI_Cyber_3.m1,mixtral,,mixtral:unknown,mixtral-ai-cyber-3-m1,0.6387979,0.5306058,0.67012584,585,645,571
LeroyDyer/Mixtral_AI_Cyber_3.m2,mixtral,,mixtral:unknown,mixtral-ai-cyber-3-m2,0.62754595,0.5280685,0.65635043,647,659,640
LeroyDyer/Mixtral_AI_Cyber_4.0,mixtral,,mixtral:unknown,mixtral-ai-cyber-4-0,0.6181456,0.52235967,0.6458812,682,673,687
LeroyDyer/Mixtral_AI_Cyber_5.0,mixtral,,mixtral:unknown,mixtral-ai-cyber-5-0,0.61985475,0.52679986,0.6467995,675,662,679
LeroyDyer/Mixtral_AI_Cyber_Child,mixtral,,mixtral:unknown,mixtral-ai-cyber-child,0.5864549,0.4947669,0.61300397,738,728,747
LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0,mixtral,,mixtral:unknown,mixtral-ai-cyber-matrix-2-0,0.6108816,0.5096733,0.6401873,698,707,694
LeroyDyer/Mixtral_AI_Cyber_MegaMind_3_0,mixtral,,mixtral:unknown,mixtral-ai-cyber-megamind-3-0,0.61486965,0.5182366,0.6428506,689,686,691
LeroyDyer/Mixtral_AI_LCARS_,mixtral,,mixtral:unknown,mixtral-ai-lcars,0.5587523,0.47161433,0.58398384,779,752,782
LeroyDyer/Mixtral_AI_MasterTron,mixtral,,mixtral:unknown,mixtral-ai-mastertron,0.48226747,0.4278465,0.49802554,835,828,840
LeroyDyer/Mixtral_AI_SwahiliTron_7b,mixtral,7.0,mixtral:4-9B,mixtral-ai-swahilitron-7b,0.5726392,0.48652077,0.59757555,763,738,775
LeroyDyer/Mixtral_AI_base_128k,mixtral,,mixtral:unknown,mixtral-ai-base-128k,0.6221336,0.52901995,0.6490954,665,653,665
LeroyDyer/Mixtral_BioMedical,mixtral,,mixtral:unknown,mixtral-biomedical,0.6236291,0.53155726,0.6502893,658,640,661
LeroyDyer/Mixtral_Chat_X,mixtral,,mixtral:unknown,mixtral-chat-x,0.60717845,0.49793848,0.6388098,706,717,701
LeroyDyer/Mixtral_Chat_X_128k,mixtral,,mixtral:unknown,mixtral-chat-x-128k,0.6280444,0.5306058,0.6562586,642,645,641
LeroyDyer/Mixtral_Instruct,mixtral,,mixtral:unknown,mixtral-instruct,0.6238428,0.5306058,0.6508403,657,645,657
LeroyDyer/Mixtral_ThoughtsProcess_1,mixtral,,mixtral:unknown,mixtral-thoughtsprocess-1,0.60703605,0.50650173,0.63614655,707,710,703
LeroyDyer/Mixtral_Uncensored,mixtral,,mixtral:unknown,mixtral-uncensored,0.61230594,0.5188709,0.63936085,695,683,698
Locutusque/Hercules-4.0-Yi-34B,yi,34.0,yi:16-40B,hercules-4-0-yi-34b,0.7524569,0.6650809,0.77775735,151,142,151
Locutusque/Hyperion-2.0-Yi-34B,yi,34.0,yi:16-40B,hyperion-2-0-yi-34b,0.75972086,0.6764986,0.78381854,126,121,128
Locutusque/Hyperion-3.0-Mixtral-3x7B,mixtral,21.0,mixtral:16-40B,hyperion-3-0-mixtral-3x7b,0.61387265,0.52457976,0.6397282,691,666,697
Locutusque/Hyperion-3.0-Yi-34B,yi,34.0,yi:16-40B,hyperion-3-0-yi-34b,0.75751317,0.67332697,0.78189,130,123,139
Locutusque/Llama-3-Orca-2.0-8B,llama,8.0,llama:4-9B,llama-3-orca-2-0-8b,0.63915396,0.5328259,0.66994214,583,635,573
Locutusque/llama-3-neural-chat-v1-8b,llama,8.0,llama:4-9B,llama-3-neural-chat-v1-8b,0.6321037,0.535046,0.66020757,632,617,626
Locutusque/llama-3-neural-chat-v2.2-8B,llama,8.0,llama:4-9B,llama-3-neural-chat-v2-2-8b,0.64050704,0.53758323,0.6703095,577,606,569
MAISAAI/gemma-2b-coder,gemma,2.0,gemma:1-4B,gemma-2b-coder,0.36939183,0.32223278,0.3830471,889,889,887
MayaPH/GodziLLa-30B,unclassified,30.0,unclassified:16-40B,godzilla-30b,0.53318614,0.43894702,0.56047386,811,818,808
MayaPH/GodziLLa-30B-plus,unclassified,30.0,unclassified:16-40B,godzilla-30b-plus,0.24512178,0.23501427,0.24804848,963,969,954
MayaPH/GodziLLa2-70B,unclassified,70.0,unclassified:40-80B,godzilla2-70b,0.70680815,0.5823026,0.7428598,210,299,200
MaziyarPanahi/Llama-3-11B-Instruct-v0.1,llama,11.0,llama:9-16B,llama-3-11b-instruct,0.6353084,0.5334602,0.66479933,607,629,598
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.1,llama,70.0,llama:40-80B,llama-3-70b-instruct-dpo,0.7992451,0.73549,0.8177059,13,13,13
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.2,llama,70.0,llama:40-80B,llama-3-70b-instruct-dpo,0.8027347,0.74595624,0.8191753,7,6,9
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.3,llama,70.0,llama:40-80B,llama-3-70b-instruct-dpo,0.803518,0.7453219,0.8203692,5,7,7
MaziyarPanahi/Llama-3-70B-Instruct-DPO-v0.4,llama,70.0,llama:40-80B,llama-3-70b-instruct-dpo,0.8034468,0.7462734,0.82000184,6,5,8
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1,llama,8.0,llama:4-9B,llama-3-8b-instruct-dpo,0.658382,0.56644464,0.6850032,431,411,437
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.2,llama,8.0,llama:4-9B,llama-3-8b-instruct-dpo,0.668993,0.57183635,0.69712555,369,368,366
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.3,llama,8.0,llama:4-9B,llama-3-8b-instruct-dpo,0.6694915,0.57342213,0.6973092,365,357,364
MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.4,llama,8.0,llama:4-9B,llama-3-8b-instruct-dpo,0.6684233,0.5699334,0.69694185,374,380,369
MaziyarPanahi/Llama-3-8B-Instruct-v0.1,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.6689218,0.573105,0.69666636,370,359,370
MaziyarPanahi/Llama-3-8B-Instruct-v0.2,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.66728383,0.56898195,0.69574803,383,386,375
MaziyarPanahi/Llama-3-8B-Instruct-v0.3,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.6692067,0.5692991,0.69813573,368,382,360
MaziyarPanahi/Llama-3-8B-Instruct-v0.4,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.66386557,0.5756422,0.68941134,401,352,418
MaziyarPanahi/Llama-3-8B-Instruct-v0.5,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.6686369,0.5705677,0.6970337,371,374,368
MaziyarPanahi/Llama-3-8B-Instruct-v0.7,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.6636519,0.5737393,0.68968683,402,355,416
MaziyarPanahi/Llama-3-8B-Instruct-v0.8,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.6674263,0.58325404,0.69179904,382,290,403
MaziyarPanahi/Llama-3-8B-Instruct-v0.9,llama,8.0,llama:4-9B,llama-3-8b-instruct,0.6670702,0.58166826,0.69179904,384,309,403
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.1,phi,,phi:unknown,phi-3-mini-4k-instruct,0.6895029,0.59847766,0.71586007,328,242,330
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.2,phi,,phi:unknown,phi-3-mini-4k-instruct,0.6929212,0.6026007,0.7190743,304,228,318
MaziyarPanahi/Phi-3-mini-4k-instruct-v0.3,phi,,phi:unknown,phi-3-mini-4k-instruct,0.693491,0.6016492,0.7200845,299,230,314
MaziyarPanahi/WizardLM-Math-70B-TIES-v0.1,unclassified,70.0,unclassified:40-80B,wizardlm-math-70b,0.6974078,0.5667618,0.7352374,272,409,233
MaziyarPanahi/WizardLM-Math-70B-v0.1,unclassified,70.0,unclassified:40-80B,wizardlm-math-70b,0.69576985,0.5721535,0.731564,280,367,250
Menouar/gemma-2b-chat,gemma,2.0,gemma:1-4B,gemma-2b-chat,0.39203817,0.33618775,0.40821013,863,880,861
Menouar/gemma-2b-chat-ultra,gemma,2.0,gemma:1-4B,gemma-2b-chat-ultra,0.38812134,0.3336505,0.40389383,867,883,866
MetaIX/GPT4-X-Alpasta-30b,unclassified,30.0,unclassified:16-40B,gpt4-x-alpasta-30b,0.5737787,0.4627339,0.6059326,762,775,761
Mihaiii/Llama-3-pruned-45B-Drobeta-Turnu-Severin,llama,45.0,llama:40-80B,llama-3-pruned-45b-drobeta-turnu-severin,0.7386412,0.641294,0.7668289,173,182,170
MisterRid/Llama-3-8B-SaulGoodMan,llama,8.0,llama:4-9B,llama-3-8b-saulgoodman,0.65453637,0.5575642,0.68261546,464,483,455
MoaData/Myrrh_solar_10.7b_3.0,solar,,solar:unknown,myrrh-solar-10-7b-3-0,0.63673264,0.54012054,0.6647075,598,590,600
Mollel/Swahili-Alpaca-Llama-3-8b_16bit,llama,,llama:unknown,swahili-alpaca-llama-3-8b-16bit,0.6235579,0.5461465,0.645973,659,563,686
Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b,unclassified,30.0,unclassified:16-40B,wizardlm-30b-uncensored-guanaco-supercot-30b,0.53183305,0.42943227,0.56148404,813,826,806
Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b,unclassified,30.0,unclassified:16-40B,wizardlm-uncensored-supercot-storytelling-30b,0.53874093,0.42530924,0.571586,805,830,792
NeuralNovel/Mini-Mixtral-v0.2,mixtral,,mixtral:unknown,mini-mixtral,0.6260504,0.52901995,0.6541464,651,653,647
NeuralNovel/Neural-Llama-3,llama,,llama:unknown,neural-llama-3,0.6345962,0.5461465,0.66020757,611,563,626
NeverSleep/CausalLM-RP-34B,unclassified,34.0,unclassified:16-40B,causallm-rp-34b,0.84012246,0.7811608,0.8571953,3,3,2
NeverSleep/Llama-3-Lumimaid-70B-v0.1,llama,70.0,llama:40-80B,llama-3-lumimaid-70b,0.80123913,0.7335871,0.8208284,10,16,6
NeverSleep/Llama-3-Lumimaid-70B-v0.1-alt,llama,70.0,llama:40-80B,llama-3-lumimaid-70b,0.80209374,0.72978115,0.82303244,8,17,5
NeverSleep/Llama-3-Lumimaid-8B-v0.1,llama,8.0,llama:4-9B,llama-3-lumimaid-8b,0.6609457,0.5658103,0.68849295,417,417,420
NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS,llama,8.0,llama:4-9B,llama-3-lumimaid-8b-v0-1-oas,0.65674406,0.5702506,0.681789,446,375,464
NeverSleep/MiquMaid-v1-70B,llama,70.0,llama:40-80B,miqumaid-v1-70b,0.7476855,0.6498573,0.7760125,161,170,156
NeverSleep/MiquMaid-v2-70B,llama,70.0,llama:40-80B,miqumaid-v2-70b,0.7490386,0.653346,0.77674717,159,161,155
NeverSleep/Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss,mixtral,56.0,mixtral:40-80B,noromaid-v0-4-mixtral-instruct-8x7b-zloss,0.7041732,0.6124326,0.73073745,225,200,255
Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1,llama,8.0,llama:4-9B,meta-llama-3-8b-uninstruct-function-calling-json-mode-model-stock,0.65667284,0.5635902,0.6836257,447,436,447
Nhoodie/llama-3-sqrt-crocodile-v0.0A,llama,,llama:unknown,llama-3-sqrt-crocodile-v0-0a,0.6679248,0.57944816,0.693544,377,324,386
NobodyExistsOnTheInternet/code-llama-70b-python-instruct,codellama,70.0,codellama:40-80B,code-llama-70b-python-instruct,0.2347244,0.21757057,0.23969144,979,982,973
NotAiLOL/Athena-Llama-3-8B-v0.1,llama,8.0,llama:4-9B,athena-llama-3-8b,0.6224897,0.5340945,0.64808524,662,624,671
NotAiLOL/Boundary-Meta-Llama-3-2x8B-MoE,llama,16.0,llama:16-40B,boundary-meta-llama-3-2x8b-moe,0.65667284,0.5673961,0.68252367,447,401,456
NotAiLOL/Knight-Miqu-27B-MoE,llama,27.0,llama:16-40B,knight-miqu-27b-moe,0.2652756,0.25562957,0.2680687,932,948,930
NotAiLOL/Yi-1.5-9B-coder,yi,9.0,yi:9-16B,yi-1-5-9b-coder,0.65788347,0.60291785,0.6737993,435,227,543
NotAiLOL/Yi-1.5-dolphin-9B,yi,9.0,yi:9-16B,yi-1-5-dolphin-9b,0.66286856,0.60704094,0.6790339,407,215,500
NousResearch/CodeLlama-34b-hf,codellama,34.0,codellama:16-40B,codellama-34b,0.3573565,0.34823978,0.35999632,898,871,899
NousResearch/Hermes-2-Pro-Llama-3-8B,llama,8.0,llama:4-9B,hermes-2-pro-llama-3-8b,0.6410056,0.54075485,0.670034,574,587,572
NousResearch/Hermes-2-Theta-Llama-3-8B,llama,8.0,llama:4-9B,hermes-2-theta-llama-3-8b,0.65667284,0.55724704,0.6854624,447,487,432
NousResearch/Meta-Llama-3-8B-Instruct,llama,8.0,llama:4-9B,meta-llama-3-8b-instruct,0.65731376,0.565176,0.68399304,436,424,445
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,mixtral,56.0,mixtral:40-80B,nous-hermes-2-mixtral-8x7b-dpo,0.717348,0.61909294,0.7457985,182,194,194
NousResearch/Nous-Hermes-2-SOLAR-10.7B,solar,10.7,solar:9-16B,nous-hermes-2-solar-10-7b,0.6536106,0.54995245,0.6836257,477,544,447
NousResearch/Nous-Hermes-Llama2-70b,llama,70.0,llama:40-80B,nous-hermes-llama2-70b,0.69256514,0.5765937,0.7261456,307,345,288
NousResearch/Nous-Puffin-70B,unclassified,70.0,unclassified:40-80B,nous-puffin-70b,0.69121206,0.5807168,0.7232069,318,318,303
Open-Orca/Mixtral-SlimOrca-8x7B,mixtral,56.0,mixtral:40-80B,mixtral-slimorca-8x7b,0.67006123,0.5658103,0.70024794,364,417,357
OpenAssistant/llama2-70b-oasst-sft-v10,llama,70.0,llama:40-80B,llama2-70b-oasst-sft,0.6754736,0.5601015,0.70888054,354,471,342
OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,codellama,34.0,codellama:16-40B,openbuddy-codellama2-34b,0.5392394,0.46400255,0.5610249,803,770,807
OpenBuddy/openbuddy-deepseek-10b-v17.1-4k,deepseek,10.0,deepseek:9-16B,openbuddy-deepseek-10b-v17-1-4k,0.51887196,0.41420868,0.54917806,826,838,815
OpenBuddy/openbuddy-deepseek-67b-v15-base,deepseek,67.0,deepseek:40-80B,openbuddy-deepseek-67b-v15-base,0.7055975,0.6048208,0.7347782,213,223,235
OpenBuddy/openbuddy-deepseek-67b-v15.1,deepseek,67.0,deepseek:40-80B,openbuddy-deepseek-67b,0.6972653,0.59657466,0.7264212,273,248,287
OpenBuddy/openbuddy-deepseek-67b-v15.2,deepseek,67.0,deepseek:40-80B,openbuddy-deepseek-67b,0.7110098,0.6086267,0.7406557,194,210,212
OpenBuddy/openbuddy-deepseek-67b-v15.3-4k,deepseek,67.0,deepseek:40-80B,openbuddy-deepseek-67b-v15-3-4k,0.6980487,0.59942913,0.7266048,269,235,286
OpenBuddy/openbuddy-deepseek-67b-v18.1-4k,deepseek,67.0,deepseek:40-80B,openbuddy-deepseek-67b-v18-1-4k,0.7009685,0.6038693,0.7290844,253,226,265
OpenBuddy/openbuddy-deepseekcoder-33b-v16.1-32k,deepseek,33.0,deepseek:16-40B,openbuddy-deepseekcoder-33b-v16-1-32k,0.4131178,0.38344434,0.42170998,856,851,859
OpenBuddy/openbuddy-falcon-180b-v12-preview0,falcon,180.0,falcon:>80B,openbuddy-falcon-180b-v12-preview0,0.58382,0.48208055,0.61327946,744,742,746
OpenBuddy/openbuddy-falcon-180b-v13-preview0,falcon,180.0,falcon:>80B,openbuddy-falcon-180b-v13-preview0,0.6437829,0.535046,0.6752686,553,617,530
OpenBuddy/openbuddy-falcon-40b-v16.1-4k,falcon,40.0,falcon:40-80B,openbuddy-falcon-40b-v16-1-4k,0.547714,0.44560736,0.5772798,794,812,787
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,llama,70.0,llama:40-80B,openbuddy-llama2-70b,0.66756874,0.5540755,0.70043164,381,520,356
OpenBuddy/openbuddy-mixtral-7bx8-v16.3-32k,mixtral,,mixtral:unknown,openbuddy-mixtral-7bx8-v16-3-32k,0.70602477,0.6244846,0.7296354,211,189,260
OpenBuddy/openbuddy-mixtral-7bx8-v17.1-32k,mixtral,,mixtral:unknown,openbuddy-mixtral-7bx8-v17-1-32k,0.690856,0.5946717,0.71870697,320,256,322
OpenBuddy/openbuddy-mixtral-7bx8-v17.2-32k,mixtral,,mixtral:unknown,openbuddy-mixtral-7bx8-v17-2-32k,0.1783934,0.18934348,0.1752227,1000,1000,1000
OpenBuddy/openbuddy-mixtral-7bx8-v17.3-32k,mixtral,,mixtral:unknown,openbuddy-mixtral-7bx8-v17-3-32k,0.6902863,0.59150016,0.7188906,325,265,321
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,mixtral,,mixtral:unknown,openbuddy-mixtral-7bx8-v18-1-32k,0.70424443,0.6048208,0.73303336,224,223,240
OpenBuddy/openbuddy-mixtral-8x7b-v15.4,mixtral,56.0,mixtral:40-80B,openbuddy-mixtral-8x7b,0.6860846,0.59784335,0.7116356,337,245,337
OpenBuddy/openbuddy-mixtral-8x7b-v16.1-32k,mixtral,56.0,mixtral:40-80B,openbuddy-mixtral-8x7b-v16-1-32k,0.70360345,0.60989535,0.73073745,235,205,255
OpenBuddy/openbuddy-mixtral-8x7b-v16.2-32k,mixtral,56.0,mixtral:40-80B,openbuddy-mixtral-8x7b-v16-2-32k,0.70388836,0.60513794,0.7324823,231,222,243
OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,llama,30.0,llama:16-40B,openbuddy-llama-30b,0.5762712,0.46083096,0.6096979,759,779,756
OpenLemur/lemur-70b-chat-v1,unclassified,70.0,unclassified:40-80B,lemur-70b-chat,0.6583108,0.5369489,0.6934521,433,608,388
OpenLemur/lemur-70b-v1,unclassified,70.0,unclassified:40-80B,lemur-70b,0.6455633,0.5439264,0.6749931,544,576,533
Orenguteng/Lexi-Llama-3-8B-Uncensored,llama,8.0,llama:4-9B,lexi-llama-3-8b-uncensored,0.6645777,0.5702506,0.6918909,396,375,399
Orenguteng/Llama-3-8B-Lexi-Uncensored,llama,8.0,llama:4-9B,llama-3-8b-lexi-uncensored,0.6645777,0.5702506,0.6918909,396,375,399
PSanni/MPOMixtral-8x7B-Instruct-v0.1,mixtral,56.0,mixtral:40-80B,mpomixtral-8x7b-instruct,0.6966956,0.5997463,0.7247681,275,234,294
Panchovix/airoboros-33b-gpt4-1.2-SuperHOT-8k,llama,33.0,llama:16-40B,airoboros-33b-gpt4-1-2-superhot-8k,0.23038028,0.21217887,0.23565066,985,998,980
ParasiticRogue/Merged-RP-Stew-V2-34B,unclassified,34.0,unclassified:16-40B,merged-rp-stew-v2-34b,0.7818687,0.6990168,0.80585915,34,54,30
PathFinderKR/Waktaverse-Llama-3-KO-8B-Instruct,llama,8.0,llama:4-9B,waktaverse-llama-3-ko-8b-instruct,0.658382,0.56485885,0.6854624,431,427,432
PetroGPT/Llama-3-Petro-Instruct-v1,llama,,llama:unknown,llama-3-petro-instruct,0.6271899,0.53821754,0.6529525,649,601,651
Phind/Phind-CodeLlama-34B-Python-v1,codellama,34.0,codellama:16-40B,phind-codellama-34b-python,0.28065804,0.2857596,0.27918082,924,912,926
Phind/Phind-CodeLlama-34B-v1,codellama,34.0,codellama:16-40B,phind-codellama-34b,0.2910554,0.27687916,0.29516026,915,928,915
Phind/Phind-CodeLlama-34B-v2,codellama,34.0,codellama:16-40B,phind-codellama-34b,0.25259936,0.24801776,0.25392598,948,954,944
Pierre-obi/Mistral_solar-slerp,solar,,solar:unknown,mistral-solar,0.3882638,0.32794166,0.40573055,865,885,864
PracticeLLM/SOLAR-tail-10.7B-Merge-v1.0,solar,10.7,solar:9-16B,solar-tail-10-7b-merge,0.65717137,0.55724704,0.68610525,439,487,426
Qwen/Qwen-72B,qwen,72.0,qwen:40-80B,qwen-72b,0.7739638,0.6990168,0.7956653,75,54,86
Qwen/Qwen1.5-110B,qwen,110.0,qwen:>80B,qwen1-5-110b,0.8099986,0.7500793,0.8273487,4,4,4
Qwen/Qwen1.5-110B-Chat,qwen,110.0,qwen:>80B,qwen1-5-110b-chat,0.785287,0.72407234,0.8030122,33,23,41
Qwen/Qwen1.5-72B,qwen,72.0,qwen:40-80B,qwen1-5-72b,0.77125764,0.7028227,0.79107356,91,49,104
Qwen/Qwen1.5-72B-Chat,qwen,72.0,qwen:40-80B,qwen1-5-72b-chat,0.77702606,0.71233743,0.7957572,51,33,84
Qwen/Qwen2-72B,qwen,72.0,qwen:40-80B,qwen2-72b,0.8420453,0.81033933,0.85122603,2,2,3
Qwen/Qwen2-beta-72B,qwen,72.0,qwen:40-80B,qwen2-beta-72b,0.77125764,0.7028227,0.79107356,91,49,104
Radiantloom/radiantloom-mixtral-8x7b-fusion-dpo,mixtral,56.0,mixtral:40-80B,radiantloom-mixtral-8x7b-fusion-dpo,0.58844894,0.4862036,0.6180549,728,739,733
Replete-AI/Llama-3-11.5B-Instruct-v2,llama,11.5,llama:9-16B,llama-3-11-5b-instruct,0.6568153,0.5623216,0.6841767,444,449,444
Replete-AI/Llama-3-13B,llama,13.0,llama:9-16B,llama-3-13b,0.607677,0.5160165,0.63421804,705,694,708
Riiid/sheep-duck-llama-2-70b-v1.1,llama,70.0,llama:40-80B,sheep-duck-llama-2-70b,0.71392965,0.58864576,0.75020665,187,270,185
SF-Foundation/Ein-70B-v2,unclassified,70.0,unclassified:40-80B,ein-70b,0.7899872,0.7082144,0.81366515,21,41,20
SF-Foundation/Ein-72B-v0.11,unclassified,72.0,unclassified:40-80B,ein-72b,0.7749608,0.6961624,0.7977776,65,64,69
SF-Foundation/Ein-72B-v0.12,unclassified,72.0,unclassified:40-80B,ein-72b,0.7748184,0.69521093,0.7978694,68,68,68
SF-Foundation/Ein-72B-v0.13,unclassified,72.0,unclassified:40-80B,ein-72b,0.7737502,0.69330794,0.7970429,77,76,74
SJ-Donald/SJ-SOLAR-10.7b-DPO,solar,10.7,solar:9-16B,sj-solar-10-7b-dpo,0.66279733,0.55661273,0.693544,408,497,386
SJ-Donald/SOLAR-10.7B-slerp,solar,10.7,solar:9-16B,solar-10-7b,0.66244125,0.5562956,0.6931766,409,500,390
SUSTech/SUS-Chat-34B,unclassified,34.0,unclassified:16-40B,sus-chat-34b,0.7684091,0.6844275,0.7927266,104,100,95
SUSTech/SUS-Chat-72B,unclassified,72.0,unclassified:40-80B,sus-chat-72b,0.76655746,0.6879163,0.7893287,109,92,107
Sao10K/Euryale-1.3-L2-70B,unclassified,70.0,unclassified:40-80B,euryale-1-3-l2-70b,0.7071642,0.5842055,0.74276793,207,285,201
Sao10K/Euryale-L2-70B,unclassified,70.0,unclassified:40-80B,euryale-l2-70b,0.68394816,0.5680305,0.7175131,341,395,326
Sao10K/Franziska-Mixtral-v1,mixtral,,mixtral:unknown,franziska-mixtral,0.69377583,0.5934031,0.72283953,295,258,307
Sao10K/SOLAR-10.7B-NahIdWin,solar,10.7,solar:9-16B,solar-10-7b-nahidwin,0.6293263,0.53536314,0.65653414,637,615,639
Sao10K/Sensualize-Mixtral-bf16,mixtral,,mixtral:unknown,sensualize-mixtral,0.7018231,0.60830957,0.72890073,249,212,268
Sao10K/Sensualize-Solar-10.7B,solar,10.7,solar:9-16B,sensualize-solar-10-7b,0.64193135,0.5394862,0.6715952,568,592,561
Sao10K/Skadi-Mixtral-v1,mixtral,,mixtral:unknown,skadi-mixtral,0.71407205,0.6206787,0.7411149,186,190,207
Sao10K/Test-Instruct-Solar-v1,solar,,solar:unknown,test-instruct-solar,0.65389544,0.5562956,0.6821563,472,500,460
Sao10K/Test-Raw-Solar-v1,solar,,solar:unknown,test-raw-solar,0.64093435,0.5461465,0.6683809,575,563,582
Sao10K/Typhon-Mixtral-v1,mixtral,,mixtral:unknown,typhon-mixtral,0.7043156,0.6086267,0.7320231,223,210,246
Sao10K/WinterGoddess-1.4x-70B-L2,unclassified,70.0,unclassified:40-80B,wintergoddess-1-4x-70b-l2,0.7172055,0.59308594,0.7531454,183,260,180
Sao10K/Zephyrus-L1-33B,mistral,33.0,mistral:16-40B,zephyrus-l1-33b,0.5690073,0.46495402,0.59913677,771,769,772
Secbone/llama-33B-instructed,llama,33.0,llama:16-40B,llama-33b-instructed,0.609671,0.47224864,0.64946276,701,749,663
ShinojiResearch/Senku-70B-Full,unclassified,70.0,unclassified:40-80B,senku-70b-full,0.75309783,0.6511259,0.78262466,147,165,135
SrikanthChellappa/Collaiborator-MEDLLM-Llama-3-8B,llama,8.0,llama:4-9B,collaiborator-medllm-llama-3-8b,0.65396667,0.5581985,0.68169713,469,481,466
StarFox7/gemma-2b-dpo-v1,gemma,2.0,gemma:1-4B,gemma-2b-dpo,0.3726677,0.32223278,0.38727155,877,889,883
Suduk/Llama-3-8B-Viper-16bit,llama,8.0,llama:4-9B,llama-3-8b-viper-16bit,0.63245976,0.54138917,0.65883,630,581,631
Suduk/Llama-3-8B-Viper-16bit-1,llama,8.0,llama:4-9B,llama-3-8b-viper-16bit-1,0.63245976,0.54138917,0.65883,630,581,631
Swisslex/Mixtral-8x7b-DPO-v0.1,mixtral,56.0,mixtral:40-80B,mixtral-8x7b-dpo,0.6952001,0.5987948,0.7231151,284,239,304
Swisslex/Mixtral-8x7b-DPO-v0.2,mixtral,56.0,mixtral:40-80B,mixtral-8x7b-dpo,0.6972653,0.60640657,0.7235742,273,218,302
Swisslex/Mixtral-Orca-v0.1,mixtral,,mixtral:unknown,mixtral-orca,0.6566016,0.5547098,0.68610525,451,515,426
Syed-Hasan-8503/Llama-3-8B-NOLA,llama,8.0,llama:4-9B,llama-3-8b-nola,0.65475005,0.56137013,0.681789,459,456,464
Syed-Hasan-8503/openhermes-gemma-2b-it,gemma,2.0,gemma:1-4B,openhermes-gemma-2b-it,0.36989033,0.29749444,0.39085317,885,903,870
TW3PartnersLLM/TW3-v1-AlpacaSmaug-30B,llama,30.0,llama:16-40B,tw3-v1-alpacasmaug-30b,0.22959693,0.21249604,0.23454863,987,990,986
