model_name,theta_stem,theta_nonstem,theta_stem_z,theta_nonstem_z,gap_z
Monero/WizardLM-30B-Uncensored-Guanaco-SuperCOT-30b,-0.924931,-0.87952185,-0.8373364,-0.78385967,-0.05347675
Monero/WizardLM-Uncensored-SuperCOT-StoryTelling-30b,-0.97424626,-0.85217416,-0.88922924,-0.7587562,-0.13047302
NeuralNovel/Mini-Mixtral-v0.2,-0.39183825,-0.2752978,-0.2763805,-0.22922023,-0.047160283
NeuralNovel/Neural-Llama-3,-0.2583772,-0.19058065,-0.13594386,-0.15145525,0.015511394
NeverSleep/CausalLM-RP-34B,2.6789224,2.8508465,2.9548795,2.6403825,0.314497
NeverSleep/Llama-3-Lumimaid-70B-v0.1,1.7866492,2.027921,2.01597,1.8849889,0.13098109
NeverSleep/Llama-3-Lumimaid-70B-v0.1-alt,1.7132941,2.0491443,1.9387809,1.9044706,0.03431034
NeverSleep/Llama-3-Lumimaid-8B-v0.1,-0.12728222,0.06265485,0.0020030574,0.080998905,-0.078995846
NeverSleep/Llama-3-Lumimaid-8B-v0.1-OAS,-0.056889918,0.035865214,0.07607455,0.056407716,0.019666832
NeverSleep/MiquMaid-v1-70B,0.8279492,1.2272236,1.0071616,1.1499994,-0.14283776
NeverSleep/MiquMaid-v2-70B,0.8224353,1.265293,1.0013595,1.1849446,-0.18358517
NeverSleep/Noromaid-v0.4-Mixtral-Instruct-8x7b-Zloss,0.30441883,0.49458247,0.45626783,0.47748116,-0.021213323
Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1,-0.12521805,0.009045163,0.0041751135,0.031788606,-0.027613493
Nhoodie/llama-3-sqrt-crocodile-v0.0A,-0.06860683,0.086186446,0.06374523,0.10259942,-0.03885419
NobodyExistsOnTheInternet/code-llama-70b-python-instruct,-1.772047,-2.0104315,-1.7287288,-1.8219633,0.09323454
NotAiLOL/Athena-Llama-3-8B-v0.1,-0.34187895,-0.27970785,-0.22381,-0.2332684,0.009458393
NotAiLOL/Boundary-Meta-Llama-3-2x8B-MoE,-0.095002405,0.009538553,0.03597004,0.032241505,0.003728535
NotAiLOL/Knight-Miqu-27B-MoE,-1.612238,-1.8862286,-1.560567,-1.7079529,0.14738584
NotAiLOL/Yi-1.5-9B-coder,0.11343917,-0.19890045,0.25530624,-0.1590923,0.41439855
NotAiLOL/Yi-1.5-dolphin-9B,0.131529,-0.20973574,0.27434155,-0.16903841,0.44337997
NousResearch/CodeLlama-34b-hf,-1.2989271,-1.5573523,-1.2308801,-1.4060652,0.17518508
NousResearch/Hermes-2-Pro-Llama-3-8B,-0.31710687,-0.18264607,-0.19774316,-0.1441718,-0.05357136
NousResearch/Hermes-2-Theta-Llama-3-8B,-0.1919091,-0.024716454,-0.06600168,0.0007975762,-0.06679926
NousResearch/Meta-Llama-3-8B-Instruct,-0.13579065,0.009230811,-0.006950082,0.03195902,-0.0389091
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,0.45728815,0.7011275,0.6171272,0.66707647,-0.04994929
NousResearch/Nous-Hermes-2-SOLAR-10.7B,-0.19134742,-0.010177813,-0.065410644,0.014143129,-0.079553775
NousResearch/Nous-Hermes-Llama2-70b,0.10353779,0.66882694,0.24488734,0.63742656,-0.3925392
NousResearch/Nous-Puffin-70B,0.111469954,0.57031286,0.2532341,0.54699683,-0.29376274
Open-Orca/Mixtral-SlimOrca-8x7B,-0.073858745,0.052368805,0.058218814,0.07155696,-0.013338149
OpenAssistant/llama2-70b-oasst-sft-v10,-0.11087724,0.25403133,0.019265477,0.2566704,-0.23740491
OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,-0.81699073,-0.88433766,-0.72375447,-0.7882803,0.06452584
OpenBuddy/openbuddy-deepseek-10b-v17.1-4k,-0.9869286,-0.93273747,-0.9025744,-0.83270824,-0.06986618
OpenBuddy/openbuddy-deepseek-67b-v15-base,0.3480873,0.59320617,0.5022187,0.56801146,-0.06579274
OpenBuddy/openbuddy-deepseek-67b-v15.1,0.19783862,0.43511462,0.344117,0.4228934,-0.07877642
OpenBuddy/openbuddy-deepseek-67b-v15.2,0.34979448,0.61623895,0.5040151,0.5891541,-0.085139036
OpenBuddy/openbuddy-deepseek-67b-v15.3-4k,0.21902806,0.43054262,0.36641395,0.41869658,-0.05228263
OpenBuddy/openbuddy-deepseek-67b-v18.1-4k,0.3270051,0.5183358,0.48003462,0.49928522,-0.019250602
OpenBuddy/openbuddy-deepseekcoder-33b-v16.1-32k,-1.1931188,-1.400162,-1.1195416,-1.2617744,0.14223278
OpenBuddy/openbuddy-falcon-180b-v12-preview0,-0.7342838,-0.6679066,-0.6367247,-0.5896103,-0.04711443
OpenBuddy/openbuddy-falcon-180b-v13-preview0,-0.430001,-0.1872254,-0.31653795,-0.14837535,-0.1681626
OpenBuddy/openbuddy-falcon-40b-v16.1-4k,-0.8843528,-0.81947446,-0.7946373,-0.72874,-0.065897346
OpenBuddy/openbuddy-llama2-70b-v10.1-bf16,-0.25537327,0.12636474,-0.13278294,0.13948056,-0.2722635
OpenBuddy/openbuddy-mixtral-7bx8-v16.3-32k,0.49322996,0.49639183,0.6549475,0.47914204,0.17580548
OpenBuddy/openbuddy-mixtral-7bx8-v17.1-32k,0.2201915,0.3622103,0.36763817,0.35597184,0.011666328
OpenBuddy/openbuddy-mixtral-7bx8-v17.2-32k,-1.8267502,-2.1554377,-1.786291,-1.9550697,0.16877866
OpenBuddy/openbuddy-mixtral-7bx8-v17.3-32k,0.17782675,0.34953585,0.32305917,0.3443375,-0.021278322
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,0.33185112,0.50757426,0.48513395,0.4894068,-0.0042728484
OpenBuddy/openbuddy-mixtral-8x7b-v15.4,0.24992631,0.3130457,0.39892715,0.31084186,0.088085294
OpenBuddy/openbuddy-mixtral-8x7b-v16.1-32k,0.39579403,0.5224508,0.55241895,0.50306255,0.0493564
OpenBuddy/openbuddy-mixtral-8x7b-v16.2-32k,0.3370108,0.5409579,0.4905633,0.5200509,-0.02948758
OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16,-0.80742705,-0.6571506,-0.7136909,-0.57973695,-0.13395393
OpenLemur/lemur-70b-chat-v1,-0.27901828,0.085975714,-0.1576638,0.10240598,-0.2600698
OpenLemur/lemur-70b-v1,-0.24807341,-0.040567894,-0.12510154,-0.013753043,-0.111348495
Orenguteng/Lexi-Llama-3-8B-Uncensored,-0.093494944,0.06982802,0.03755629,0.087583415,-0.050027125
Orenguteng/Llama-3-8B-Lexi-Uncensored,-0.086332716,0.08403324,0.045092866,0.100622915,-0.05553005
PSanni/MPOMixtral-8x7B-Instruct-v0.1,0.19537397,0.41020834,0.34152353,0.40003103,-0.058507502
Panchovix/airoboros-33b-gpt4-1.2-SuperHOT-8k,-1.8368233,-2.073806,-1.7968907,-1.880137,0.08324623
ParasiticRogue/Merged-RP-Stew-V2-34B,2.0913572,2.306153,2.336604,2.1403885,0.19621563
PathFinderKR/Waktaverse-Llama-3-KO-8B-Instruct,-0.16561869,-0.019708764,-0.038337145,0.0053943186,-0.043731462
PetroGPT/Llama-3-Petro-Instruct-v1,-0.35335165,-0.33690435,-0.23588236,-0.28577116,0.049888805
Phind/Phind-CodeLlama-34B-Python-v1,-1.5019583,-1.8036311,-1.4445232,-1.6321335,0.18761027
Phind/Phind-CodeLlama-34B-v1,-1.5277557,-1.7390908,-1.4716691,-1.5728897,0.10122061
Phind/Phind-CodeLlama-34B-v2,-1.6464908,-1.9515705,-1.5966101,-1.7679325,0.17132246
Pierre-obi/Mistral_solar-slerp,-1.3596823,-1.4494256,-1.2948109,-1.3069953,0.0121843815
PracticeLLM/SOLAR-tail-10.7B-Merge-v1.0,-0.083030105,0.012437607,0.048568096,0.03490265,0.013665445
Qwen/Qwen-72B,1.5541419,1.6154405,1.7713102,1.5063579,0.2649523
Qwen/Qwen1.5-110B,2.1079607,2.1387758,2.3540754,1.9867467,0.36732876
Qwen/Qwen1.5-110B-Chat,1.6495233,1.4585934,1.8716769,1.3623822,0.50929475
Qwen/Qwen1.5-72B,1.6318896,1.5819587,1.8531215,1.4756236,0.3774979
Qwen/Qwen1.5-72B-Chat,1.5980111,1.5812149,1.8174723,1.4749409,0.34253144
Qwen/Qwen2-72B,2.9180553,2.504986,3.2065113,2.3229046,0.8836067
Qwen/Qwen2-beta-72B,1.6105454,1.5667934,1.8306618,1.461703,0.36895883
Radiantloom/radiantloom-mixtral-8x7b-fusion-dpo,-0.7094622,-0.5623849,-0.6106058,-0.49274802,-0.117857754
Replete-AI/Llama-3-11.5B-Instruct-v2,-0.13937736,0.00773835,-0.010724258,0.030589033,-0.04131329
Replete-AI/Llama-3-13B,-0.5064085,-0.50393784,-0.39693904,-0.43909734,0.042158306
Riiid/sheep-duck-llama-2-70b-v1.1,0.20746776,0.9170835,0.35424942,0.8653104,-0.51106095
SF-Foundation/Ein-70B-v2,1.6893152,1.9889727,1.9135486,1.8492368,0.06431174
SF-Foundation/Ein-72B-v0.11,1.7500101,1.7493855,1.9774159,1.6293108,0.34810507
SF-Foundation/Ein-72B-v0.12,1.6841464,1.7643268,1.9081097,1.6430261,0.26508355
SF-Foundation/Ein-72B-v0.13,1.683704,1.7810341,1.9076442,1.6583623,0.24928188
SJ-Donald/SJ-SOLAR-10.7b-DPO,-0.051111095,0.11863112,0.08215542,0.13238157,-0.050226152
SJ-Donald/SOLAR-10.7B-slerp,-0.08566552,0.10716729,0.045794938,0.121858515,-0.07606357
SUSTech/SUS-Chat-34B,1.5858698,1.8598176,1.8046964,1.7306806,0.074015856
SUSTech/SUS-Chat-72B,1.3620391,1.4288461,1.5691668,1.335076,0.2340908
Sao10K/Euryale-1.3-L2-70B,0.15054384,0.81980056,0.29435024,0.7760108,-0.48166057
Sao10K/Euryale-L2-70B,0.024193332,0.42665318,0.16139579,0.41512632,-0.25373054
Sao10K/Franziska-Mixtral-v1,0.11938542,0.39086187,0.26156327,0.38227218,-0.12070891
Sao10K/SOLAR-10.7B-NahIdWin,-0.3344476,-0.29227945,-0.21599023,-0.24480833,0.0288181
Sao10K/Sensualize-Mixtral-bf16,0.3761639,0.5288188,0.53176284,0.5089079,0.022854924
Sao10K/Sensualize-Solar-10.7B,-0.2030498,-0.1198635,-0.077724665,-0.0865414,0.008816734
Sao10K/Skadi-Mixtral-v1,0.47236428,0.6830078,0.63299125,0.6504437,-0.017452419
Sao10K/Test-Instruct-Solar-v1,-0.043108054,0.020223059,0.09057675,0.042049203,0.04852755
Sao10K/Test-Raw-Solar-v1,-0.17948717,-0.1661589,-0.052930493,-0.12903763,0.076107144
Sao10K/Typhon-Mixtral-v1,0.38309512,0.52870417,0.5390563,0.5088027,0.03025359
Sao10K/WinterGoddess-1.4x-70B-L2,0.2658437,0.9178791,0.4156765,0.8660407,-0.4503642
Sao10K/Zephyrus-L1-33B,-0.8159218,-0.70089304,-0.7226296,-0.61988974,-0.10273987
Secbone/llama-33B-instructed,-0.73226553,-0.39730406,-0.63460094,-0.34121427,-0.29338667
ShinojiResearch/Senku-70B-Full,0.77288544,1.3775884,0.9492198,1.2880247,-0.33880484
SrikanthChellappa/Collaiborator-MEDLLM-Llama-3-8B,-0.19255203,-0.028907707,-0.06667821,-0.0030497292,-0.06362848
StarFox7/gemma-2b-dpo-v1,-1.3764274,-1.5414728,-1.3124312,-1.3914888,0.079057574
Suduk/Llama-3-8B-Viper-16bit,-0.3169198,-0.21445504,-0.19754632,-0.17337044,-0.024175882
Suduk/Llama-3-8B-Viper-16bit-1,-0.2893392,-0.19633287,-0.16852418,-0.15673544,-0.011788741
Swisslex/Mixtral-8x7b-DPO-v0.1,0.297568,0.41274756,0.44905892,0.40236187,0.04669705
Swisslex/Mixtral-8x7b-DPO-v0.2,0.31979308,0.42137805,0.47244564,0.4102841,0.062161535
Swisslex/Mixtral-Orca-v0.1,-0.10949644,-0.03141998,0.020718448,-0.005355838,0.026074287
Syed-Hasan-8503/Llama-3-8B-NOLA,-0.18280284,-0.035356276,-0.056419466,-0.008969108,-0.047450356
Syed-Hasan-8503/openhermes-gemma-2b-it,-1.4436507,-1.5180632,-1.3831681,-1.3700002,-0.013167858
TW3PartnersLLM/TW3-v1-AlpacaSmaug-30B,-1.8389416,-2.0875642,-1.7991196,-1.8927661,0.09364653
TW3PartnersLLM/TW3-v2-AlpacaSmaug-72B,-1.8067518,-2.0457687,-1.7652475,-1.8544005,0.08915305
Technoculture/Medmerge-tulu-70b,0.18669972,0.6309992,0.33239588,0.6027031,-0.2703072
TeeZee/2xbagel-dpo-34b-v0.2,1.0428983,1.1630155,1.2333454,1.0910603,0.14228511
TeeZee/Bielik-SOLAR-LIKE-10.7B-Instruct-v0.1,-1.0219959,-1.1350043,-0.93947464,-1.0183765,0.07890183
TeeZee/Kyllene-34B-v1.1,1.8483126,2.110169,2.0808563,1.9604874,0.12036896
TeeZee/Xwin-LM-70B-V0.1_Jannie,0.08010181,0.68940955,0.22022642,0.6563201,-0.4360937
TeeZee/Xwin-LM-70B-V0.1_Limarpv3,0.054753203,0.6557376,0.19355293,0.62541133,-0.43185842
TehVenom/oasst-sft-6-llama-33b-xor-MERGED-16bit,-0.8380107,-0.67550236,-0.7458731,-0.5965827,-0.14929038
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,-1.302941,-1.4906121,-1.2351038,-1.344802,0.10969818
Tensoic/Gemma-2B-Samvaad,-1.4773698,-1.6777366,-1.4186496,-1.5165704,0.097920895
TheBloke/Airoboros-L2-70B-2.1-GPTQ,0.04053434,0.5577409,0.17859088,0.5354566,-0.3568657
TheBloke/Chinese-Alpaca-33B-SuperHOT-8K-fp16,-1.6782174,-2.023871,-1.6299949,-1.8342998,0.20430493
TheBloke/CodeLlama-34B-Instruct-fp16,-1.3056265,-1.4865067,-1.2379298,-1.3410335,0.10310364
TheBloke/CodeLlama-34B-Python-fp16,-1.4338206,-1.6343552,-1.3728242,-1.476749,0.10392475
TheBloke/GPlatty-30B-SuperHOT-8K-fp16,-1.6745368,-1.9778113,-1.6261219,-1.79202,0.16589808
TheBloke/Genz-70b-GPTQ,0.16782254,0.80162126,0.31253207,0.75932336,-0.4467913
TheBloke/Lemur-70B-Chat-v1-GPTQ,-0.39884868,-0.092836596,-0.2837574,-0.061732408,-0.22202498
TheBloke/Llama-2-70B-chat-GPTQ,-0.5366135,-0.27564788,-0.42872277,-0.2295416,-0.19918117
TheBloke/Llama-2-70B-fp16,0.1548423,0.61623436,0.2988734,0.5891499,-0.2902765
TheBloke/Mixtral-8x7B-v0.1-GPTQ,0.14975336,0.21157496,0.29351845,0.21769814,0.07582031
TheBloke/OpenAssistant-SFT-7-Llama-30B-HF,-0.75258166,-0.5904591,-0.6559789,-0.5185184,-0.13746053
TheBloke/Platypus-30B-SuperHOT-8K-fp16,-1.7618676,-2.0500493,-1.7180172,-1.8583298,0.14031255
TheBloke/Platypus2-70B-Instruct-GPTQ,0.13317308,0.7286687,0.27607155,0.6923575,-0.41628593
TheBloke/Poro-34B-GPTQ,-1.5063758,-1.6685568,-1.4491717,-1.5081439,0.05897224
TheBloke/Vicuna-33B-1-3-SuperHOT-8K-fp16,-1.7061371,-2.0305588,-1.6593738,-1.8404387,0.18106496
TheBloke/Wizard-Vicuna-30B-Superhot-8K-fp16,-1.7857549,-2.0706909,-1.7431531,-1.8772774,0.13412428
TheBloke/Wizard-Vicuna-30B-Uncensored-GPTQ,-0.88503706,-0.7367501,-0.79535735,-0.65280426,-0.14255309
TheBloke/Wizard-Vicuna-30B-Uncensored-fp16,-0.83577937,-0.6338114,-0.7435251,-0.5583131,-0.18521202
TheBloke/WizardLM-30B-GPTQ,-1.6611732,-1.9223263,-1.6120598,-1.7410883,0.12902844
TheBloke/WizardLM-30B-fp16,-0.7293135,-0.5152417,-0.6314946,-0.44947356,-0.18202102
TheBloke/WizardLM-70B-V1.0-GPTQ,-0.43415833,-0.1794667,-0.32091254,-0.14125335,-0.17965919
TheBloke/airoboros-33B-gpt4-1-4-SuperHOT-8K-fp16,-1.74797,-2.0615754,-1.7033932,-1.86891,0.16551673
TheBloke/fiction.live-Kimiko-V2-70B-fp16,0.08854962,0.5515147,0.22911578,0.52974135,-0.30062556
TheBloke/llama-2-70b-Guanaco-QLoRA-fp16,0.18880185,0.7075533,0.3346079,0.67297494,-0.33836704
TheBloke/llama-30b-supercot-SuperHOT-8K-fp16,-1.7495124,-2.0609937,-1.7050163,-1.868376,0.16335976
TheBloke/robin-33B-v2-GPTQ,-1.710176,-1.9533855,-1.6636238,-1.7695986,0.10597479
TheBloke/robin-33B-v2-fp16,-0.95776826,-0.8629943,-0.87189,-0.76868844,-0.10320157
TheSkullery/llama-3-cat-8b-instruct,-0.43944162,-0.41400993,-0.32647198,-0.3565492,0.030077219
TheSkullery/llama-3-cat-8b-instruct-v1,-0.4168423,-0.39383483,-0.3026915,-0.33802974,0.035338253
TigerResearch/tigerbot-70b-chat-v4-4k,-0.23043597,0.1589087,-0.10654223,0.16935386,-0.27589607
TomGrc/FusionNet_SOLAR,-0.1452882,-0.08027339,-0.016944043,-0.05020018,0.033256136
TriadParty/deepmoney-34b-200k-base,0.98042536,1.2260913,1.1676072,1.1489599,0.018647313
TsinghuaC3I/Llama-3-8B-UltraMedical,-0.22105575,-0.08777071,-0.09667174,-0.057082243,-0.039589494
Undi95/Llama-3-8B-Instruct-OAS,-0.15095481,-0.0119648315,-0.022906834,0.012502759,-0.035409592
Undi95/Llama-3-LewdPlay-8B,-0.119910404,-0.0029387344,0.009760173,0.020788144,-0.011027971
Undi95/Llama-3-LewdPlay-8B-evo,-0.0775749,0.10595665,0.054308426,0.120747216,-0.066438794
Undi95/Llama-3-Unholy-8B,-0.115244076,0.039900668,0.014670396,0.060112003,-0.045441605
Undi95/Meta-Llama-3-8B-hf,-0.21438543,-0.047563102,-0.089652784,-0.020174202,-0.06947859
Undi95/Miqu-70B-Alpaca-DPO,0.88803005,1.3398653,1.0703827,1.2533972,-0.18301451
Undi95/Miqu-MS-70B,0.8594217,1.3645744,1.040279,1.2760787,-0.23579967
Undi95/Mixtral-4x7B-DPO-RPChat,-0.37961057,-0.26189414,-0.26351377,-0.21691653,-0.046597242
Undi95/Mixtral-8x7B-MoE-RP-Story,-1.2333777,-1.3775141,-1.1619047,-1.2409852,0.07908046
VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,0.042165283,0.08975302,0.18030708,0.10587331,0.07443377
VAGOsolutions/SauerkrautLM-Gemma-2b,-1.2140008,-1.3414973,-1.1415151,-1.207924,0.06640887
VAGOsolutions/SauerkrautLM-Mixtral-8x7B,-0.18350014,-0.108574495,-0.05715321,-0.076178804,0.019025594
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,0.29687682,0.52597654,0.4483316,0.5062989,-0.057967305
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,-0.04682665,-0.0013410191,0.086663805,0.022254746,0.06440906
ValiantLabs/Esper-70b,-0.78915054,-0.8860789,-0.69445914,-0.7898786,0.09541947
ValiantLabs/Fireplace-34b,-1.0604341,-1.2278972,-0.9799219,-1.1036463,0.1237244
ValiantLabs/Llama3-70B-Fireplace,1.4976345,1.72613,1.7118493,1.6079638,0.10388553
Walmart-the-bag/Llama-3-LizardCoder-8B,-0.11352064,0.06501056,0.016483914,0.0831613,-0.06667739
Walmart-the-bag/Solar-10.7B-Cato,-0.13043374,-0.093862064,-0.0013131844,-0.062673725,0.06136054
Weyaxi/Bagel-Hermes-34B-Slerp,1.8950036,2.245369,2.1299875,2.0845923,0.045395136
Weyaxi/HelpSteer-filtered-Solar-Instruct,-0.33492512,-0.24810153,-0.21649271,-0.20425579,-0.012236923
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Linear,1.578668,1.9394385,1.7971182,1.8037674,-0.0066492558
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.7056541,2.0116653,1.9307415,1.8700674,0.06067419
Weyaxi/Qwen-72B-Llama,1.1295631,0.581747,1.3245399,0.5574927,0.7670472
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,-0.051946763,-0.017682739,0.081276074,0.007254082,0.074021995
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct-test,-0.07289268,-0.036200605,0.05923537,-0.009744149,0.06897952
WhiteRabbitNeo/WhiteRabbitNeo-33B-v1,-1.2187537,-1.483714,-1.1465163,-1.3384699,0.19195354
WizardLM/WizardCoder-Python-34B-V1.0,-1.0321449,-1.1542608,-0.95015407,-1.0360527,0.08589864
WizardLM/WizardLM-70B-V1.0,-0.31125858,-0.119290546,-0.1915892,-0.086015455,-0.10557375
Xwin-LM/Xwin-LM-70B-V0.1,0.100315146,0.63844997,0.24149625,0.6095424,-0.36804616
Xwin-LM/Xwin-Math-70B-V1.0,-0.39015052,0.15479876,-0.2746046,0.1655812,-0.4401858
Xwin-LM/XwinCoder-34B,-1.0470113,-1.1751852,-0.9657975,-1.05526,0.08946246
YeungNLP/firefly-llama-30b,-0.8131944,-0.6371305,-0.7197597,-0.56135976,-0.15839994
YeungNLP/firefly-mixtral-8x7b-v0.1,0.40377554,0.5591383,0.5608176,0.53673935,0.02407825
YeungNLP/firefly-mixtral-8x7b-v1,0.36685732,0.52002376,0.5219698,0.50083464,0.021135151
Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf,-0.8328135,-0.644242,-0.74040425,-0.56788766,-0.17251658
Zangs3011/falcon_7b_DolphinCoder,-1.6405151,-1.9166294,-1.590322,-1.7358589,0.1455369
Zangs3011/mixtral_8x7b_MonsterInstruct,0.26617634,0.2425521,0.41602653,0.2461332,0.16989334
Zardos/A.I.Kant-Test_Llama-3-8B-Instruct_v0.1.0,-0.4134598,-0.38216412,-0.2991322,-0.3273168,0.028184593
Zardos/A.I.Kant-Test_Llama-3-8B-Instruct_v0.1.1,-1.2706131,-1.4646796,-1.2010863,-1.3209975,0.119911194
Zardos/nil_Llama-3-8B-Instruct_v0.1.0,-0.095566414,0.1108878,0.035376552,0.1252737,-0.089897156
Zardos/nil_Llama-3-8B-Instruct_v0.1.1,-0.16817309,-0.029774126,-0.04102506,-0.0038450467,-0.037180014
abacusai/Liberated-Qwen1.5-72B,1.5260901,1.652932,1.7417923,1.5407727,0.20101964
abacusai/Llama-3-Giraffe-70B,1.1328455,1.3836608,1.327994,1.2935988,0.034395218
abacusai/Llama-3-Giraffe-70B-Instruct,1.3425338,1.4029995,1.548642,1.3113505,0.23729157
abacusai/Llama-3-Smaug-8B,-0.29698434,-0.1473285,-0.1765689,-0.111752525,-0.06481637
abacusai/MM-OV-bagel-DPO-34b-c1000-250,1.7032207,2.0107572,1.9281809,1.8692337,0.058947206
abacusai/MM-Orc-Vic-bagel-34b-c1000,1.6275469,1.9339759,1.8485519,1.7987533,0.049798608
abacusai/MetaMath-Bagel-DPO-34B,1.7198133,2.063618,1.9456408,1.9177566,0.027884245
abacusai/MetaMath-bagel-34b-v0.2-c1500,0.91515374,1.461392,1.098924,1.3649511,-0.2660271
abacusai/Smaug-2-72B,1.6257517,1.6116414,1.8466629,1.5028706,0.34379232
abacusai/Smaug-34B-v0.1,1.784059,2.0952148,2.0132444,1.9467604,0.066483974
abacusai/Smaug-70B-v0.1,1.6925871,1.7893155,1.9169916,1.6659641,0.25102746
abacusai/Smaug-72B-v0.1,1.6871934,1.7783955,1.9113159,1.6559403,0.25537562
abacusai/Smaug-Mixtral-v0.1,0.2169457,0.41495872,0.36422274,0.40439156,-0.04016882
abacusai/Smaugv0.1,1.7677869,2.0629778,1.9961218,1.9171689,0.07895291
abhinand/Llama-3-OpenBioMed-8B-slerp-v0.3,-0.22518694,-0.054247152,-0.10101886,-0.026309736,-0.074709125
abhinand/gemma-2b-it-tamil-v0.1-alpha,-1.290556,-1.4771892,-1.2220715,-1.3324805,0.11040902
abhinand/gemma-2b-tamil,-1.3307533,-1.5097758,-1.2643698,-1.3623929,0.09802306
abhishek/autotrain-llama3-70b-orpo-v1,1.8244109,1.9884471,2.0557053,1.8487543,0.20695102
abhishek/autotrain-llama3-70b-orpo-v2,1.777366,1.978294,2.0062017,1.8394344,0.16676736
abhishek/autotrain-mixtral-8x7b-orpo-v1,0.28359202,0.5301482,0.43435246,0.51012826,-0.0757758
abhishek/autotrain-mixtral-8x7b-orpo-v2,0.16603939,0.38694504,0.3106557,0.37867677,-0.06802106
abhishek/autotrain-mixtral7x8b-math,-0.18732089,0.022986718,-0.061173655,0.044586066,-0.105759725
abhishek/autotrain-xva0j-mixtral8x7b,-0.15880406,-0.087493494,-0.031166337,-0.056827776,0.025661439
abhishekchohan/SOLAR-10.7B-Instruct-Forest-DPO-v1,-0.1187607,-0.03812192,0.010969971,-0.011507794,0.022477765
abideen/gemma-2b-openhermes,-1.464543,-1.5259023,-1.4051523,-1.3771961,-0.027956247
adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701,1.3791324,1.6732073,1.5871534,1.5593841,0.027769327
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301,1.2350156,1.5956796,1.4355042,1.4882187,-0.052714467
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301-LoRA,1.2929733,1.5177583,1.4964911,1.4166918,0.079799294
adamo1139/Yi-34B-200K-AEZAKMI-RAW-2901,1.0416796,1.1491957,1.232063,1.0783746,0.15368843
adamo1139/Yi-34B-200K-AEZAKMI-XLCTX-v3,1.2458138,1.296433,1.4468668,1.2135291,0.23333764
adamo1139/Yi-34B-200K-AEZAKMI-v2,1.355941,1.679293,1.56275,1.5649705,-0.0022205114
adamo1139/Yi-34B-200K-HESOYAM-0905,1.3855765,1.6472521,1.5939344,1.5355589,0.058375478
adamo1139/Yi-34B-200K-rawrr1-LORA-DPO-experimental-r3,1.4557346,1.7084458,1.6677595,1.5917308,0.076028705
adamo1139/Yi-34B-AEZAKMI-v1,0.87388444,1.209922,1.0554978,1.1341175,-0.07861972
adamo1139/Yi-34b-200K-rawrr-v2-run-0902-LoRA,1.410077,1.6079262,1.6197155,1.4994602,0.12025523
adamo1139/yi-34b-200k-rawrr-dpo-1,1.4747142,1.77235,1.687731,1.6503909,0.037340164
adamo1139/yi-34b-200k-rawrr-dpo-2,1.4346011,1.7434156,1.6455214,1.6238309,0.021690488
ajibawa-2023/Code-Llama-3-8B,-1.0243238,-1.1186494,-0.9419242,-1.0033636,0.061439395
ajibawa-2023/Python-Code-33B,-0.94481325,-0.87695736,-0.8582579,-0.78150564,-0.076752245
ajibawa-2023/Scarlett-Llama-3-8B,-0.18570279,-0.036467116,-0.05947098,-0.0099887885,-0.049482193
ajibawa-2023/Scarlett-Llama-3-8B-v1.0,-0.21152705,-0.06350881,-0.086645,-0.03481135,-0.05183365
ajibawa-2023/SlimOrca-Llama-3-8B,-0.9037384,-0.970324,-0.8150361,-0.86721027,0.05217415
ajibawa-2023/Uncensored-Frank-33B,-0.8395773,-0.6656317,-0.7475216,-0.5875221,-0.15999949
ajibawa-2023/Uncensored-Frank-Llama-3-8B,-0.46608964,-0.35866743,-0.35451284,-0.3057483,-0.048764527
alchemonaut/BoreanGale-70B,0.83251905,1.2238686,1.0119703,1.1469196,-0.13494933
alchemonaut/QuartetAnemoi-70B-t0.0001,0.88635087,1.3362758,1.0686158,1.2501024,-0.1814866
allenai/tulu-2-dpo-70b,0.11013026,0.6347509,0.25182438,0.60614693,-0.35432255
aloobun/Cypher-Laser-Mixtral-2x1.8B-v0.1,-1.5224985,-1.702235,-1.466137,-1.5390583,0.072921276
aloobun/Cypher-Mixtral-2x1.8B-v0.1,-1.5229006,-1.7140046,-1.4665601,-1.5498621,0.08330202
